Prey,Predator,PreyMass,PredatorMass
bacteria,Enchytraeidae,9.5e-16,-999
root exudates,Enchytraeidae,-999,-999
Megalothorax minimus,saphrophytes,1.52e-05,-999
Oribatida sp. (juv),Enchytraeidae,7.36e-07,-999
leaf litter,root exudates,-999,-999
Trichouropoda ovalis,dead organic matter,2.34e-05,-999
flagellates,roots,3.63e-07,-999
Parisotoma notabilis,dead organic matter,2.41e-06,-999
roots,dead organic matter,-999,-999
Rhodacarus coronatus,root exudates,1.2e-05,-999
Euryopis flavomaculata,saphrophytes,0.006459925,-999
amoebae,root exudates,2.8e-08,-999
root feeding nematodes,root exudates,2.35e-07,-999
Metellina segmentata,leaf litter,0.004189325,-999
Aleocharinae sp1 (juv),leaf litter,0.000349987,-999
Mesaphorura sp.,dead organic matter,1.46e-05,-999
Acrotrichis sp.,roots,0.000456894,-999
Aegopinella nitidula (juv),saphrophytes,0.006715285,-999
bacteria,plants,9.5e-16,-999
Rhodacarus coronatus,plants,1.2e-05,-999
Linyphiidae (juv),plants,0.000519895,-999
Campodea sp. {m},root exudates,0.000717334,-999
leaf litter,algae,-999,-999
Rhodacarus coronatus,roots,1.2e-05,-999
fungivorous nematodes,roots,5.35e-07,-999
root exudates,dead organic matter,-999,-999
mykorrhiza,roots,-999,-999
roots,algae,-999,-999
Zercon cf gurensis,Enchytraeidae,1.22e-05,-999
omnivorous nematodes,algae,6.02e-05,-999
Lysigamasus cf conus,roots,2.49e-05,-999
Elateridae sp.,roots,0.02957777,-999
dead organic matter,root exudates,-999,-999
Aleocharinae sp1 (juv),root exudates,0.000349987,-999
Aleocharinae sp1 (juv),roots,0.000349987,-999
Polydesmidae sp.,leaf litter,0.000201582,-999
Dalopius marginatus (juv) {m},roots,0.000184087,-999
Achipteria coleoptrata,leaf litter,5e-05,-999
Ozyptila particola,bacteria,0.005064089,9.5e-16
Saaristoa abnormis,bacteria,0.001376267,9.5e-16
Scolopendrella cf. subnuda {s},bacteria,2.33e-05,9.5e-16
Linyphia hortensis,ciliates,0.005205442,2.63e-09
Aleocharinae sp1 (juv),amoebae,0.000349987,2.8e-08
predacious nematodes,amoebae,3.56e-06,2.8e-08
Lysigamasus cf conus,root feeding nematodes,2.49e-05,2.35e-07
Lysigamasus runcatellus,root feeding nematodes,4.31e-05,2.35e-07
Aleocharinae sp1 (juv),flagellates,0.000349987,3.63e-07
bacteria,fungivorous nematodes,9.5e-16,5.35e-07
Lysigamasus runcatellus,Oribatida sp. (juv),4.31e-05,7.36e-07
Mesaphorura sp.,Oribatida sp. (juv),1.46e-05,7.36e-07
Linyphiidae cf Erigoniinae (juv) {s},Oribatida sp. (juv),8.19e-05,7.36e-07
algae,Oribatida sp. (juv),-999,7.36e-07
plants,bacterivorous nematodes,-999,8.52e-07
bacterivorous nematodes,Rhodacarus sp.,8.52e-07,2.03e-06
fungivorous nematodes,Rhodacarus sp.,5.35e-07,2.03e-06
root feeding nematodes,Rhodacarus sp.,2.35e-07,2.03e-06
Theridiidae sp. (juv),Rhodacarus sp.,0.003831577,2.03e-06
bacteria,Parisotoma notabilis,9.5e-16,2.41e-06
Lysigamasus runcatellus,Parisotoma notabilis,4.31e-05,2.41e-06
Rhodacarus sp.,Parisotoma notabilis,2.03e-06,2.41e-06
root exudates,Parisotoma notabilis,-999,2.41e-06
Uropoda minima,Parisotoma notabilis,1.34e-05,2.41e-06
bacteria,Isotomiella minor,9.5e-16,3.27e-06
Protaphorura sp.,Isotomiella minor,8.73e-06,3.27e-06
Trichouropoda ovalis,Isotomiella minor,2.34e-05,3.27e-06
algae,Isotomiella minor,-999,3.27e-06
Zercon cf gurensis,Isotomiella minor,1.22e-05,3.27e-06
root exudates,Isotomiella minor,-999,3.27e-06
Uropoda minima (juv),Isotomiella minor,7.91e-06,3.27e-06
Veigaia nemorensis,Isotomiella minor,4.83e-05,3.27e-06
bacterivorous nematodes,predacious nematodes,8.52e-07,3.56e-06
Urodiaspis tecta (juv),predacious nematodes,2.28e-05,3.56e-06
Micranurida pygmaea,predacious nematodes,5.04e-06,3.56e-06
bacterivorous nematodes,Microppia minus,8.52e-07,3.83e-06
fungivorous nematodes,Microppia minus,5.35e-07,3.83e-06
Pergamasinae (juv) {xs},Microppia minus,6.46e-06,3.83e-06
