Prey,Predator,PreyMass,PredatorMass
Cryptomonas ovata,benthic detritus,4.75e-11,-999
Cryptomonas ovata,nanoflagellates ,4.75e-11,3.49e-12
Cryptomonas ovata,Gomphonema sp.,4.75e-11,1.3e-11
Ankistrodesmus falcatus,Cryptomonas ovata,2.57e-11,4.75e-11
Cryptomonas erosa,Cryptomonas ovata,4.75e-11,4.75e-11
Cryptomonas ovata,Navicula sp.,4.75e-11,9.01e-10
Cryptomonas ovata,Tabellaria fenestrata,4.75e-11,1.07e-09
Cryptomonas ovata,Tabellaria flocculosa,4.75e-11,1.07e-09
Cryptomonas ovata,Dinobryon divergens,4.75e-11,1.36e-09
Cryptomonas ovata,Mallomonas sp.,4.75e-11,5.65e-09
Cryptomonas ovata,Peridinium inconspicuum,4.75e-11,5.6e-08
Cryptomonas ovata,Oocyctis sp.,4.75e-11,8.61e-08
Cryptomonas ovata,fish eggs,4.75e-11,0.0201
