Prey,Predator,PreyMass,PredatorMass
Amphilochidae,Stenothoidae,0.0005,0.0009
Caulerpa cupressoides,Stenothoidae,0.000228,0.0009
Chondria armata,Stenothoidae,0.000228,0.0009
Copepoda,Stenothoidae,0.001,0.0009
Gelidium sp.,Stenothoidae,0.000228,0.0009
Halimeda cuneata,Stenothoidae,0.000228,0.0009
Hypnea sp.,Stenothoidae,0.000228,0.0009
Jania intermedia,Stenothoidae,0.000228,0.0009
Parvocaulis parvulus,Stenothoidae,0.000228,0.0009
Sargassum aquifolium,Stenothoidae,0.000228,0.0009
PhytoP,Copepoda,0.0001,0.001
Zooplankton,Ostracoda,0.001,0.001
Caulerpa racemosa v. uvifera,Amphitoidae,0.000228,0.0015
Chamaedoris delphinii,Amphitoidae,0.000228,0.0015
Dictyopteris macrocarpa,Amphitoidae,0.000228,0.0015
Dictyosphaeria cavernosa,Amphitoidae,0.000228,0.0015
Gracilaria corticata,Amphitoidae,0.000228,0.0015
Laurencia pumila,Amphitoidae,0.000228,0.0015
Stenothoidae,Amphitoidae,0.0009,0.0015
Ulva sp.,Amphitoidae,0.000228,0.0015
Valonia macrophysa,Amphitoidae,0.000228,0.0015
Valoniopsis pachynema,Amphitoidae,0.000228,0.0015
Amphilochidae,Anemonia natalensis,0.0005,0.0032
Polychaeta,Anemonia natalensis,0.0063,0.0032
Stenothoidae,Anemonia natalensis,0.0009,0.0032
Amphilochidae,Hydrozoa,0.0005,0.01
Amphilochidae,Physalia physalis,0.0005,0.01
Amphitoidae,Hydrozoa,0.0015,0.01
Amphitoidae,Physalia physalis,0.0015,0.01
Copepoda,Hydrozoa,0.001,0.01
Copepoda,Physalia physalis,0.001,0.01
Caulerpa cupressoides,Pycnogonida,0.000228,0.011
Caulerpa racemosa v. uvifera,Pycnogonida,0.000228,0.011
Chamaedoris delphinii,Pycnogonida,0.000228,0.011
Chondria armata,Pycnogonida,0.000228,0.011
Dictyopteris macrocarpa,Pycnogonida,0.000228,0.011
Dictyosphaeria cavernosa,Pycnogonida,0.000228,0.011
Gelidium sp.,Pycnogonida,0.000228,0.011
Gracilaria corticata,Pycnogonida,0.000228,0.011
Halimeda cuneata,Pycnogonida,0.000228,0.011
Hypnea sp.,Pycnogonida,0.000228,0.011
Jania intermedia,Pycnogonida,0.000228,0.011
Laurencia pumila,Pycnogonida,0.000228,0.011
Parvocaulis parvulus,Pycnogonida,0.000228,0.011
Sargassum aquifolium,Pycnogonida,0.000228,0.011
Ulva sp.,Pycnogonida,0.000228,0.011
Valonia macrophysa,Pycnogonida,0.000228,0.011
Valoniopsis pachynema,Pycnogonida,0.000228,0.011
Zooplankton,Ophiurida,0.001,0.0134
Polychaeta,Helcogramma obtusirostris,0.0063,0.602
Caulerpa cupressoides,Antennablennius bifilum,0.000228,1.203
Caulerpa racemosa v. uvifera,Antennablennius bifilum,0.000228,1.203
Chamaedoris delphinii,Antennablennius bifilum,0.000228,1.203
Chondria armata,Antennablennius bifilum,0.000228,1.203
Dictyopteris macrocarpa,Antennablennius bifilum,0.000228,1.203
Dictyosphaeria cavernosa,Antennablennius bifilum,0.000228,1.203
Gelidium sp.,Antennablennius bifilum,0.000228,1.203
Gracilaria corticata,Antennablennius bifilum,0.000228,1.203
Halimeda cuneata,Antennablennius bifilum,0.000228,1.203
Hypnea sp.,Antennablennius bifilum,0.000228,1.203
Jania intermedia,Antennablennius bifilum,0.000228,1.203
Laurencia pumila,Antennablennius bifilum,0.000228,1.203
Parvocaulis parvulus,Antennablennius bifilum,0.000228,1.203
Sargassum aquifolium,Antennablennius bifilum,0.000228,1.203
Ulva sp.,Antennablennius bifilum,0.000228,1.203
Valonia macrophysa,Antennablennius bifilum,0.000228,1.203
Valoniopsis pachynema,Antennablennius bifilum,0.000228,1.203
