Prey,Predator,PreyMass,PredatorMass
Fucus serratus,Ostracoda,0.000228,0.001
Palmaria palmata,Ostracoda,0.000228,0.001
Ulva intestinalis,Ostracoda,0.000228,0.001
Carcinus maenas,Zooplankton,0.01,0.001
Furcellaria lumbricalis,Gammaridae,0.000228,0.0012
Fucus serratus,Sphaeromatidae,0.000228,0.0033
Ulva linza,Sphaeromatidae,0.000228,0.0033
Ulva linza,Stenothoidae,0.000228,0.0038
Ectocarpus siliculosus,Palaemon elegans,0.000228,0.01
Lomentaria articulata,Palaemon elegans,0.000228,0.01
Ulva intestinalis,Palaemon elegans,0.000228,0.01
Fucus serratus,Carcinus maenas,0.000228,0.01
Furcellaria lumbricalis,Carcinus maenas,0.000228,0.01
Lomentaria articulata,Carcinus maenas,0.000228,0.01
Polysiphonia sp.,Carcinus maenas,0.000228,0.01
Dictyota dichotoma,Nymphon gracile,0.000228,0.01
Ulva linza,Nymphon gracile,0.000228,0.01
Ulva intestinalis,Palaemon serratus,0.000228,0.1553
Ulva linza,Palaemon serratus,0.000228,0.1553
