Prey,Predator,PreyMass,PredatorMass
Achnanthes lanceolata,Corynoneura,3.62e-09,6.98e-06
Amphora inariensis,Corynoneura,1.16e-09,6.98e-06
Fragilaria capucina,Corynoneura,7.62e-09,6.98e-06
Gomphonema,Corynoneura,5e-09,6.98e-06
Navicula atomus,Corynoneura,1.29e-08,6.98e-06
Navicula lenzii,Corynoneura,1.29e-08,6.98e-06
Nitzschia agnita,Corynoneura,6e-09,6.98e-06
Nitzschia capitellata,Corynoneura,6e-09,6.98e-06
Nitzschia palea,Corynoneura,5e-09,6.98e-06
Rhoicosphenia abbreviata,Corynoneura,1e-08,6.98e-06
Staurosirella pinnata,Corynoneura,2.07e-09,6.98e-06
Achnanthes lanceolata,Thienemanniella,3.62e-09,3.28e-05
Diatoma vulgaris,Thienemanniella,6.01e-08,3.28e-05
Fragilaria capucina,Thienemanniella,7.62e-09,3.28e-05
Meridion circulare,Thienemanniella,3.53e-09,3.28e-05
Navicula minima,Thienemanniella,1.11e-09,3.28e-05
Navicula tripunctata,Thienemanniella,2.47e-08,3.28e-05
Nitzschia heufleriana,Thienemanniella,6e-09,3.28e-05
Nitzschia palea,Thienemanniella,5e-09,3.28e-05
Cricotopus,Polypedilum nubeculosum,9.89e-05,5.16e-05
Cricotopus bicinctus,Polypedilum nubeculosum,0.000129092,5.16e-05
Eukiefferiella claripennis,Polypedilum nubeculosum,9.3e-05,5.16e-05
Pseudosmittia,Polypedilum nubeculosum,0.00019678,5.16e-05
Tvetenia,Polypedilum nubeculosum,0.000152897,5.16e-05
Achnanthes delicatula,Hydroptila,4.41e-09,5.17e-05
Amphora inariensis,Hydroptila,1.16e-09,5.17e-05
Cocconeis neodiminuta,Hydroptila,6.86e-09,5.17e-05
Encyonema silesiacum,Hydroptila,3.45e-09,5.17e-05
Melosira varians,Hydroptila,6.41e-09,5.17e-05
Navicula atomus,Hydroptila,1.29e-08,5.17e-05
Navicula cryptonella,Hydroptila,1.12e-08,5.17e-05
Navicula lenzii,Hydroptila,1.29e-08,5.17e-05
Navicula minima,Hydroptila,1.11e-09,5.17e-05
Nitzschia capitellata,Hydroptila,6e-09,5.17e-05
Nitzschia palea,Hydroptila,5e-09,5.17e-05
Achnanthes delicatula,Eukiefferiella claripennis,4.41e-09,9.3e-05
