Prey,Predator,PreyMass,PredatorMass
Zooplankton,Fucus,0.001,0.000228
Ralfsia verrucosa,Fucus,0.000228,0.000228
Polychaeta,Oligochaeta,0.0017,0.0014
Nematoda,Oligochaeta,0.01,0.0014
Gammarus oceanicus,Oligochaeta,0.1116,0.0014
Ralfsia fungiformis,Oligochaeta,0.000228,0.0014
Testudinalia testudinalis,Oligochaeta,0.3742,0.0014
Ralfsia fungiformis,Polychaeta,0.000228,0.0017
Ralfsia verrucosa,Polychaeta,0.000228,0.0017
Zooplankton,Polychaeta,0.001,0.0017
Zooplankton,Eteone longa,0.001,0.0025
Ralfsia fungiformis,Eteone longa,0.000228,0.0025
Zooplankton,Eteone sp.,0.001,0.0026
Ralfsia fungiformis,Eteone sp.,0.000228,0.0026
Zooplankton,Polydora websteri,0.001,0.0042
Ralfsia verrucosa,Nematoda,0.000228,0.01
Ralfsia fungiformis,Littorina saxatilis,0.000228,0.0578
Ralfsia verrucosa,Littorina saxatilis,0.000228,0.0578
Fucus,Hediste diversicolor,0.000228,0.0833
Gammarus oceanicus,Hediste diversicolor,0.1116,0.0833
Ralfsia fungiformis,Hediste diversicolor,0.000228,0.0833
Zooplankton,Hediste diversicolor,0.001,0.0833
Testudinalia testudinalis,Hediste diversicolor,0.3742,0.0833
Ralfsia fungiformis,Littorina obtusata,0.000228,0.1052
Ralfsia verrucosa,Littorina obtusata,0.000228,0.1052
Ralfsia fungiformis,Gammarus oceanicus,0.000228,0.1116
Ralfsia verrucosa,Gammarus oceanicus,0.000228,0.1116
Zooplankton,Gammarus oceanicus,0.001,0.1116
Ralfsia verrucosa,Testudinalia testudinalis,0.000228,0.3742
Nematoda,Testudinalia testudinalis,0.01,0.3742
Zooplankton,Testudinalia testudinalis,0.001,0.3742
Zooplankton,Mytilus sp.,0.001,2.5365
Ralfsia verrucosa,Mytilus sp.,0.000228,2.5365
