Version,Metric,FoodWebs,MinimumRetainedRuns,MedianRetainedRuns,MaximumRetainedRuns
BodyMass WLNM,F1,290,82,99.0,100
BodyMass WLNM,PR-AUC,290,78,100.0,100
BodyMass WLNM,Precision,290,75,97.0,100
BodyMass WLNM,ROC-AUC,290,75,98.0,100
BodyMass WLNM,Recall,290,76,99.0,100
BodyMass WLNM,MCC,290,80,99.0,100
BodyMass WLNM,TSS,290,81,99.0,100
Modified WLNM,F1,290,76,99.0,100
Modified WLNM,PR-AUC,290,80,100.0,100
Modified WLNM,Precision,290,75,98.0,100
Modified WLNM,ROC-AUC,290,75,98.0,100
Modified WLNM,Recall,290,52,99.0,100
Modified WLNM,MCC,290,76,99.0,100
Modified WLNM,TSS,290,76,99.0,100
Original WLNM,F1,290,76,99.0,100
Original WLNM,PR-AUC,290,77,100.0,100
Original WLNM,Precision,290,76,100.0,100
Original WLNM,ROC-AUC,290,89,99.0,100
Original WLNM,Recall,290,75,100.0,100
Original WLNM,MCC,290,63,99.0,100
Original WLNM,TSS,290,63,99.0,100
